Actual,Predicted
111.0,131.21849624136618
224.0,136.46676808924795
176.0,187.03717608452814
182.0,174.38230060100796
191.0,183.47568163644002
188.0,184.8077765853863
213.0,182.73024268034908
190.0,182.91139879674486
198.0,177.45861115768054
184.0,181.70699852104062
180.0,184.05178380450786
171.0,182.56082814609582
208.0,183.70525410101203
190.0,181.73068288405605
129.0,136.05088228979506
73.0,95.3724078272381
148.0,95.120614027633
180.0,102.24765368513629
90.0,114.73915754856944
108.0,85.54095501357071
109.0,75.79193157354635
55.0,94.53727781653375
86.0,95.05195942182003
61.0,88.81068483776407
83.0,86.31755267436458
80.0,86.58358127931731
81.0,88.23675111853032
71.0,87.71042769876036
105.0,87.79928157782972
88.0,102.25456818395298
148.0,113.55395335722237
78.0,112.72846711733018
141.0,98.22315781350478
101.0,107.60435843741124
126.0,114.1237755280637
144.0,118.21307554120726
133.0,132.0581965674944
71.0,133.41533094629918
119.0,141.1590503213138
210.0,131.31770378000058
176.0,185.56378624697646
204.0,185.8794767295325
210.0,185.52981105028437
196.0,186.67050840189148
202.0,184.32282130314113
181.0,192.67475887150738
199.0,191.99969112547194
214.0,187.8677382886603
203.0,174.66567619871736
198.0,158.79560616216847
108.0,157.8166948724222
141.0,132.02165704637997
160.0,126.53337214253588
93.0,128.1077427089448
96.0,129.86077023964205
93.0,126.38155763843761
108.0,116.27405260491722
126.0,107.00536971639941
164.0,117.12466024938489
121.0,120.70618577265469
136.0,102.06445243769629
42.0,112.90714972760928
25.0,40.6870707812543
42.0,46.74290554508138
61.0,39.85820343301994
51.0,45.81597089670032
35.0,42.489710177378875
53.0,43.42067790247585
57.0,41.105037208419006
40.0,42.699722130222305
42.0,42.4167979291438
46.0,41.54923770506477
34.0,40.282716554162505
39.0,40.73287225871965
56.0,41.43649656880248
45.0,42.418977419193304
38.0,41.395304750472086
52.0,41.436664977144844
58.0,42.94566976435588
33.0,43.84201468721836
49.0,42.39512053782758
32.0,42.01274043707219
51.0,37.46574678237685
48.0,44.57350774978744
52.0,44.1709407695973
53.0,57.879884721576374
126.0,111.4171603229899
95.0,113.1144508901405
116.0,107.18083680402182
100.0,118.5180759896359
114.0,101.74282055255365
86.0,125.33201606429171
149.0,130.33555992670307
173.0,151.56904706787384
201.0,183.678446525253
217.0,181.48460881450717
191.0,179.26556697334252
207.0,183.9537810018719
183.0,193.4209672989461
206.0,188.48958571940554
170.0,179.89170053589987
167.0,179.21677967970027
176.0,181.11358424658192
161.0,182.68804994297193
207.0,180.99877788875085
145.0,130.70245667370702
78.0,145.7621064291072
90.0,92.9290436996298
112.0,105.1633038040485
83.0,93.86800990021024
142.0,90.27029527521987
109.0,111.40197014142592
70.0,102.13604480598542
83.0,88.6879983007208
76.0,90.20516383267399
55.0,91.35421609080848
67.0,91.67382373844231
58.0,83.62230775386801
111.0,85.4412811469817
67.0,84.32043636010307
147.0,96.5367178443962
174.0,112.89858692731275
173.0,142.63779490293464
153.0,145.292565831412
133.0,164.42570616037602
177.0,141.33452510083987
144.0,150.08794792669534
81.0,163.86632139134537
176.0,123.56501811703178
200.0,162.41944137331993
208.0,190.44243516087747
175.0,183.20615560819797
195.0,189.71370613180835
163.0,189.50133096522958
213.0,189.99439927622967
176.0,180.74104622076229
207.0,188.36746581695195
166.0,166.21026644722969
104.0,163.68943502943398
92.0,133.79302565780532
141.0,126.00275847604593
129.0,126.28028303528761
118.0,121.88377482780479
85.0,121.91802764244754
116.0,126.17464178996077
156.0,127.72240250475079
133.0,119.64569819764252
114.0,128.32464255194122
137.0,92.54048560031599
42.0,103.9446663704345
54.0,40.32847043362736
34.0,44.29641711247495
45.0,46.1727627033475
59.0,40.96158613416281
45.0,43.85474016409659
44.0,40.58946875509543
43.0,41.80158177627751
40.0,41.99327159755009
53.0,42.77020540210688
31.0,42.96293047688121
34.0,44.8781683951833
32.0,42.29267458266622
37.0,42.45057645763956
45.0,46.521298659146694
32.0,42.12804312022672
37.0,48.142444673366384
49.0,41.316624495977074
33.0,43.1526367939943
27.0,44.10481227201
40.0,43.2968042785896
28.0,42.877766394485434
45.0,41.32454948342975
54.0,46.17315127705024
47.0,78.86934943457385
142.0,109.43574895712977
99.0,130.236847412188
147.0,109.50333434828458
136.0,130.46368912897142
109.0,131.38478543966679
120.0,131.83363802193077
140.0,116.17890838042538
195.0,137.1268610262203
186.0,185.05274279334958
162.0,187.31796701534861
177.0,190.23844175907067
165.0,194.26828441014808
191.0,185.71193242045786
211.0,187.69138894105643
213.0,182.58592201082286
164.0,192.6230394431168
148.0,186.03703593892126
112.0,163.9798521770481
145.0,99.69057440435544
83.0,135.25984073738312
116.0,98.3190025185523
141.0,104.4961076390729
75.0,91.16934488573925
75.0,93.8243733958477
66.0,91.60347253374249
111.0,91.75864590195009
107.0,84.8866805292136
80.0,93.05512091852258
100.0,90.11865654135768
77.0,92.20677556545817
80.0,107.26885716662275
92.0,115.25786306599296
152.0,120.25441253066636
127.0,123.51019512509785
112.0,110.4460952423718
174.0,114.28004893409933
86.0,134.97378418323632
130.0,123.73785050163362
101.0,117.6007327470857
93.0,118.9892947821675
113.0,131.51180250463528
189.0,128.3801891255495
171.0,176.09568215728166
220.0,185.13676431330308
221.0,182.6604364503523
205.0,183.83187555079638
188.0,187.18390786945764
176.0,194.15651345995286
214.0,190.08636441663558
179.0,188.43450908722275
206.0,176.9185698452802
199.0,170.10176034179017
91.0,149.8765230439953
117.0,132.5310074614513
140.0,127.52509574549543
115.0,120.1255502409942
147.0,120.28870730366415
146.0,120.98967930293298
139.0,129.49030741434618
154.0,131.59174864574862
161.0,132.01556408844436
144.0,134.2967481209073
150.0,130.05118732215897
158.0,125.05547838138578
35.0,121.56228779283491
40.0,40.27866480257138
45.0,43.72865683881301
55.0,43.397128403832596
46.0,43.10348737535975
39.0,41.271718777765855
38.0,41.88444083134959
29.0,41.116594837853235
45.0,41.72266721943499
50.0,40.80364914498943
51.0,42.49171418890896
42.0,43.413247491889045
35.0,40.94091544961981
25.0,40.76352900534926
32.0,42.358315440347745
47.0,42.68751419146955
49.0,41.2123678815068
48.0,43.501804851373315
32.0,44.1407091132218
44.0,42.90468252899684
48.0,42.507212464023105
39.0,39.178894885822835
40.0,44.0776123543959
42.0,46.63564541197066
29.0,73.92419229719087
119.0,111.74030124581621
100.0,101.80164190870468
120.0,126.27258740412317
112.0,117.98543058342217
